page,source,impressions,clicks,ctr,position,records
https://chenguangwu.github.io/tools/it/id-card-generator.html,bing,104,0,0.000000,8.00,1
https://chenguangwu.github.io/tools/video/video-speed.html,bing,25,0,0.000000,7.00,1
https://chenguangwu.github.io/,clarity,23,0,0.000000,2.07,1
https://chenguangwu.github.io/tools/science/sample-size-calculator.html,bing,17,0,0.000000,8.18,2
https://chenguangwu.github.io/,bing,14,1,0.071429,1.00,2
https://chenguangwu.github.io/tools/finance/lottery-odds-calculator.html,bing,14,0,0.000000,5.00,1
https://chenguangwu.github.io/tools/science/factorial-calculator.html,bing,12,0,0.000000,8.08,2
https://chenguangwu.github.io/tools/it/invite-code-generator.html,bing,8,1,0.125000,6.50,2
https://chenguangwu.github.io/tools/parenting/growth-chart.html,bing,8,6,0.750000,8.50,2
https://chenguangwu.github.io/tools/it/password-generator.html,clarity,7,0,0.000000,2.11,1
https://chenguangwu.github.io/index.html,clarity,6,0,0.000000,7.00,1
https://chenguangwu.github.io/tools/legal/arbitration-fee.html,bing,6,0,0.000000,6.00,1
https://chenguangwu.github.io/tools/finance/compound-interest.html,clarity,4,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/finance/iccid-validator.html,bing,4,2,0.500000,4.50,2
https://chenguangwu.github.io/tools/fishery/mesh-size-guide.html,bing,4,0,0.000000,4.00,1
https://chenguangwu.github.io/tools/math/formula-calculator.html,bing,4,0,0.000000,5.00,1
https://chenguangwu.github.io/tools/accessibility/braille-translator.html,bing,3,5,1.666667,3.00,1
https://chenguangwu.github.io/tools/clinical-lab/mic-breakpoint.html,clarity,3,0,0.000000,1.67,1
https://chenguangwu.github.io/tools/fengshui/fengshui-calculator.html,bing,3,0,0.000000,10.00,1
https://chenguangwu.github.io/tools/health/blood-type-calculator.html,bing,3,2,0.666667,4.00,1
https://chenguangwu.github.io/tools/it/js-obfuscator.html,clarity,3,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/life/radiation-converter.html,bing,3,0,0.000000,9.00,1
https://chenguangwu.github.io/tools/livestock/heat-stress-index.html,bing,3,0,0.000000,6.00,1
https://chenguangwu.github.io/tools/reproductive-medicine/testicular-volume.html,bing,3,0,0.000000,7.00,1
https://chenguangwu.github.io/tools/science/median-calculator.html,bing,3,0,0.000000,4.00,1
https://chenguangwu.github.io/tools/video/subtitle-tool.html,bing,3,0,0.000000,8.00,1
https://Electron,clarity,2,0,0.000000,3.00,1
https://chenguangwu.github.io/guides/index.html,clarity,2,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/agriculture/calc-4.html,clarity,2,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/agriculture/canopy-coverage.html,bing,2,0,0.000000,10.00,1
https://chenguangwu.github.io/tools/agriculture/estimate-yield-rate.html,clarity,2,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/ai/ai-6.html,clarity,2,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/ai/attention-head-dim.html,clarity,2,0,0.000000,1.00,1
https://chenguangwu.github.io/tools/biz/superscript-text.html,clarity,2,0,0.000000,1.00,1
